,Exp. m/z,Abundance
2625,585.0376200000001,2173954
2627,585.0562,2247685
2630,585.11022,2316303
2632,585.14597,3018773
2634,586.08394,2737345
2643,588.07141,4124201
2644,588.09888,2284078
2654,591.0419999999999,3593271
2662,592.0661200000001,4935914
2664,593.02112,4222351
2684,596.04026,2397073
2685,596.06129,2750357
2689,597.0737,5092415
2697,598.07663,2145510
2706,600.07123,3034671
2707,600.09932,2302004
2708,600.10837,2424373
2711,601.06848,2293459
2713,601.10532,2514649
2717,602.08707,3806072
2722,603.1718099999999,3338280
2724,604.05739,2162359
2725,604.0663099999999,3913912
2729,605.021,2727249
2740,606.11817,2022912
2743,607.0475799999999,2181780
2745,607.0731900000001,3912344
2746,607.07759,2100888
2750,607.2035400000001,2717356
2752,608.06102,2735924
2755,609.0375,3321806
2757,609.07349,7048147
2760,609.12523,2638811
2771,611.16152,2305306
2772,612.0712900000001,2835880
2777,613.10501,3250761
2778,613.12013,3853899
2780,614.0140200000001,2223830
2782,614.07835,2158304
2783,614.0871400000001,2576097
2789,616.0300599999999,2694158
2790,616.06605,3992595
2800,618.11827,2487632
2808,619.2036400000001,2557431
2811,620.13441,2193030
2815,621.07038,2321174
2820,621.18289,2504487
2822,622.077,2707376
2823,622.11328,2112438
2844,627.13582,2844347
2846,628.06629,3001163
2847,628.0943,2062159
2856,630.08209,2926724
2867,633.1826599999999,2622056
2869,635.01713,2200456
2872,635.0683700000001,2822033
2874,635.10829,2125207
2876,635.16163,3490719
2878,637.0112,2692293
2880,637.06384,2156749
2892,639.12083,2661911
2896,641.09971,2081623
2897,641.11506,4007769
2899,642.0821599999999,2307063
2900,643.02147,3768465
2904,643.1674,2586793
2905,644.06125,3497276
2906,644.1347,2087241
2911,645.85593,2055783
2915,647.06778,2073395
2924,649.17783,2577562
2926,651.02665,2818521
2928,651.06281,4460000
2935,653.00613,2281268
2937,653.06344,2213695
2939,653.0998599999999,2748229
2944,655.07915,2810022
2945,655.0943900000001,3647657
2950,657.11014,4180503
2952,658.07713,2422472
2963,662.1080599999999,2171327
2969,665.04216,2594810
2973,665.5299,2419803
2974,667.02137,2758022
2975,667.0579,4577677
2980,668.0614400000001,2097752
2982,669.07367,5126952
2985,670.0676,2096118
2986,670.79783,2314383
2990,671.1257400000001,3560660
2992,673.03181,3055209
2997,674.07267,3421003
3000,675.12011,4382768
3004,677.06332,3918305
3007,677.13592,2699249
3008,679.02135,2842526
3015,681.07367,4072828
3018,681.13049,2146697
3019,683.01638,2933578
3021,683.0889099999999,3897179
3025,687.04777,3348262
3026,687.08433,4635439
3028,689.0635900000001,3495202
3030,689.13637,2511156
3033,691.1515,2315066
3034,693.0372,2125095
3038,695.05265,2332478
3040,697.03176,2626900
3044,699.08416,3825543
