,Exp. m/z,Abundance
802,409.10994,2348223
805,409.18692000000004,2946267
807,410.07288,2981401
811,410.99924,2177894
812,411.0125,2666347
813,411.01648,2720620
816,411.03918999999996,3651444
817,411.05273,5307257
820,411.07543,4112257
821,411.08926,3446662
823,411.11197999999996,2067855
824,411.12548,2651027
828,412.05203,2108642
829,412.06022,6692069
830,412.08845,2168559
832,412.13300000000004,4304127
834,413.01847999999995,3398207
835,413.03219,3039300
838,413.05491,4316748
839,413.06842,3354193
842,413.09127,3471962
843,413.105,2721375
846,413.12759,2700903
850,414.04672,1982388
853,414.11228,4653004
856,414.99769,2573070
857,415.00734,2891026
859,415.02636,2307353
861,415.03413,4649244
862,415.04766,2381600
864,415.06278,2000166
866,415.07047,4417833
869,415.10691,4550966
872,415.14319,3770691
873,415.16085,3457354
874,416.02567,2225541
875,416.03415,2768520
876,416.05519,3723920
880,417.00563,2121708
882,417.01342,2567663
884,417.04214,3959801
886,417.04982,3531772
888,417.07858999999996,2694151
890,417.08608,3420169
893,417.1225,3958807
895,418.01324,2416990
896,418.04147,2769256
898,418.07802999999996,2846070
899,418.08603999999997,3779961
901,419.02152,3336914
903,419.05773,4448991
906,419.09414,2898668
908,419.10194,3262191
910,419.13807,2730749
913,420.05726,3997777
914,420.06530999999995,7811156
915,420.09365999999994,2306142
918,420.99689000000006,2481581
920,421.03695,5185980
922,421.07340999999997,4033994
924,421.10972000000004,2700759
926,421.11762999999996,2395610
927,421.14606,2019813
930,422.00840999999997,1977126
931,422.03659000000005,2055472
933,422.0729,3640126
935,422.10920999999996,2131276
938,423.00278,2823322
939,423.01289,2141853
940,423.01614000000006,2985118
943,423.03912,2108071
944,423.05253,6329516
947,423.0755,2548917
948,423.08882,3865786
950,423.12532999999996,2626759
954,424.05214000000007,2618915
955,424.06023,8740390
956,424.08870999999994,1976369
958,424.13305999999994,5336642
960,424.99181,1971077
962,425.01496,4595598
963,425.01845,4128655
964,425.02839000000006,2043795
965,425.03189000000003,4906900
968,425.05476,3504029
969,425.06822999999997,4627362
971,425.0876,2499497
972,425.09103,3468202
973,425.10447,3274671
975,425.12749,2114488
976,425.14090999999996,2675133
979,425.25789000000003,2572265
981,426.0678,2162972
983,426.1043,2012969
984,426.11228,5929261
986,426.9946,3043451
987,426.9978,3015292
989,427.02605,2612871
991,427.0341,4760202
992,427.04405,2249358
993,427.0474,4198031
996,427.07045999999997,4035224
997,427.08087,1980060
998,427.08387999999997,3264157
1001,427.10692,3394214
1002,427.1205,2711723
1004,427.13953,2026162
1005,427.14319000000006,3408564
1007,428.02582,2505732
1008,428.05514000000005,4797455
1012,429.01338,4773245
1013,429.02662999999995,2357634
1015,429.04179000000005,3107208
1017,429.04981,4789643
1018,429.06307000000004,2602384
1021,429.08617000000004,4349337
1022,429.09923,2136478
1025,429.12253,4978087
1028,429.15887000000004,2728373
1031,430.04173,3281672
1034,430.07777000000004,2731286
1036,430.10703,2110753
1038,431.02107,3128448
1040,431.02921,3192964
1042,431.05755999999997,3672207
1044,431.06549,3710098
1047,431.10179000000005,4976800
1050,431.13813,3665070
1053,432.05722000000003,4000272
1054,432.06532000000004,5624340
1055,432.09359000000006,2156063
1057,432.10537999999997,2101283
1058,432.99688,2243452
1060,433.03668,5190540
1062,433.06249,2804630
1063,433.07314,3209114
1065,433.08124000000004,3088285
1066,433.1093,2298792
1068,433.11747,3912619
1070,433.15393,3072953
1073,434.03660999999994,3724560
1075,434.07293,3969310
1077,434.11735999999996,2886960
1079,435.00257,2664073
1080,435.01590999999996,3714702
1082,435.03577,2013845
1083,435.0391,2193047
1084,435.05225,6375068
1086,435.0887,3321514
1088,435.09693,2496173
1089,435.12515999999994,2637496
1091,435.13322999999997,2454204
1094,436.05223,3475491
1095,436.06028,9422886
1096,436.08852,3313713
1102,437.01852,2320797
1103,437.03148,5421474
1106,437.05473,2024363
1107,437.06789000000003,6082993
1109,437.09092000000004,2588090
1110,437.10434000000004,3702207
1112,437.14063,2244045
1115,438.0313,2178859
1117,438.06768,3393337
1119,438.10434000000004,2149192
1120,438.11222000000004,6415179
1124,438.99764000000005,3241127
1125,439.01083,2581677
1128,439.0341,4095158
1130,439.04429000000005,2407610
1131,439.04722000000004,5700795
1134,439.07054000000005,4266180
1135,439.08365,3565769
1137,439.10329,2339537
1138,439.10693,2707666
1139,439.12009000000006,2763480
1141,439.15643,2022118
1145,440.04704000000004,2395718
1146,440.05515,7548489
1147,440.06202,2255436
1148,440.08347000000003,2125908
1150,440.12804000000006,4808294
1151,440.16443,2352756
1153,441.01327000000003,4298692
1154,441.02627,2998217
1157,441.04972000000004,3952594
1158,441.06260999999995,4026327
1161,441.08612999999997,3681249
1162,441.09934000000004,3005414
1165,441.12255,4929519
1169,442.0416,2220892
1172,442.08615999999995,2429293
1173,442.10717,3924342
1176,442.99262000000004,2307798
1178,443.02072999999996,2207457
1180,443.02913,4702948
1181,443.04183,2973417
1183,443.05699000000004,2631919
1185,443.06538,4472563
1186,443.07864000000006,1984248
1189,443.10177000000004,4786945
1191,443.13489000000004,4043534
1192,443.13814,4485904
1195,444.02072999999996,2188399
1197,444.05010999999996,3628155
1198,444.05713,2628733
1199,444.06532000000004,3853441
1202,444.12305999999995,2557080
1204,445.00809000000004,2732537
1206,445.03639000000004,4595204
1208,445.045,3366408
1210,445.07269,3252755
1212,445.08120999999994,3952150
1215,445.11745,4892197
1217,445.15379,3841587
1218,446.00822999999997,2258824
1219,446.03655999999995,3735444
1221,446.07316,2896802
1222,446.08102,3879846
1226,447.01563,3152156
1228,447.02409000000006,2641183
1229,447.0519,4995370
1232,447.07805,2532661
1233,447.08856,2315065
1235,447.0968,3431740
1236,447.11458,2091331
1237,447.12499,2249544
1239,447.13315,4815179
1242,448.05215999999996,5251772
1243,448.06021,9128639
1244,448.0884,2817738
1247,448.99974000000003,8014904
1248,449.01827000000003,3105343
1249,449.0312,6302789
1251,449.06762000000003,5981267
1253,449.10395,2964578
1255,449.11237,2347109
1256,449.14045999999996,2176113
1259,450.0315,2680279
1261,450.06777,4093414
1263,450.10434000000004,2233844
1264,450.11222000000004,5035512
1266,450.99771,3542876
1267,451.01049000000006,3465057
1270,451.03405999999995,2643819
1271,451.04694000000006,7047024
1273,451.0672,3620728
1274,451.07042,2213753
1275,451.08325999999994,4554623
1277,451.11964000000006,3468173
1282,452.04715,2882819
1283,452.05519000000004,10453254
1284,452.08339000000007,2922770
1287,452.16424000000006,2986291
1289,453.01332,4348554
1290,453.02619000000004,4471439
1293,453.04979000000003,3756696
1294,453.06242000000003,5298845
1297,453.08604,2994855
1298,453.09880999999996,3682988
1300,453.12246,2733750
1301,453.13496,3292859
1305,454.04166,1997353
1307,454.06257999999997,2577458
1309,454.09907999999996,2308160
1310,454.10733,5243972
1314,454.99247,2485162
1316,455.0206,2453941
1318,455.02902,5105081
1319,455.04165,4027838
1321,455.05697000000004,1977796
1323,455.0654,4380103
1324,455.07799000000006,3907020
1327,455.10166,5539286
1328,455.11452,2243035
1331,455.13813,2460133
1333,455.1746,2037235
1334,455.19237999999996,3018235
1336,456.05008,4398934
1337,456.05734,2629465
1338,456.06539000000004,2287964
1341,456.15944,2360194
1343,457.00827999999996,3898586
1345,457.03627,3686630
1347,457.04475999999994,4696297
1348,457.05719000000005,2614510
1350,457.07246,2570484
1352,457.08108,4146424
1353,457.09357,3022077
1356,457.1174,4538631
1359,457.15377,3049749
1361,458.00827999999996,2536048
1362,458.03644,3291771
1365,458.08104000000003,3089037
1366,458.10200999999995,2865814
1368,459.01545,3685385
1370,459.02415999999994,3870732
