,Exp. m/z,Theor. Mass,Error,Abundance,Signal2Noise,DBE,Cno,Hno,Nno,Ono,Sno,13Cno,18Ono,Formula,HeteroClass
55,380.10672,380.10672,0,3597621,0,9.0,17,20,0,9,0,1,0,13C1 12C17 H20 O9,O9
56,382.04966,382.04966,0,4487122,0,10.0,15,14,0,11,0,1,0,13C1 12C15 H14 O11,O11
57,382.12239,382.12239,0,3868651,0,8.0,17,22,0,9,0,1,0,13C1 12C17 H22 O9,O9
58,384.02889,384.02889,0,3076732,0,10.0,14,12,0,12,0,1,0,13C1 12C14 H12 O12,O12
59,384.10177999999996,384.10177999999996,0,4352661,0,8.0,16,20,0,10,0,1,0,13C1 12C16 H20 O10,O10
60,386.04463,386.04463,0,3473715,0,9.0,14,14,0,12,0,1,0,13C1 12C14 H14 O12,O12
61,388.09676,388.09676,0,2708471,0,7.0,15,20,0,11,0,1,0,13C1 12C15 H20 O11,O11
62,390.0183,390.0183,0,2017423,0,13.0,16,10,0,11,0,1,0,13C1 12C16 H10 O11,O11
63,390.05476,390.05476,0,2409628,0,12.0,17,14,0,10,0,1,0,13C1 12C17 H14 O10,O10
64,390.12756,390.12756,0,2102965,0,10.0,19,22,0,8,0,1,0,13C1 12C19 H22 O8,O8
65,392.07045,392.07045,0,4575574,0,11.0,17,16,0,10,0,1,0,13C1 12C17 H16 O10,O10
66,392.10677999999996,392.10677999999996,0,2607459,0,10.0,18,20,0,9,0,1,0,13C1 12C18 H20 O9,O9
67,394.04969,394.04969,0,5977093,0,11.0,16,14,0,11,0,1,0,13C1 12C16 H14 O11,O11
68,394.12237000000005,394.12237000000005,0,3448862,0,9.0,18,22,0,9,0,1,0,13C1 12C18 H22 O9,O9
69,396.02886,396.02886,0,4347574,0,11.0,15,12,0,12,0,1,0,13C1 12C15 H12 O12,O12
70,396.10171,396.10171,0,5050064,0,9.0,17,20,0,10,0,1,0,13C1 12C17 H20 O10,O10
71,398.04455,398.04455,0,5101942,0,10.0,15,14,0,12,0,1,0,13C1 12C15 H14 O12,O12
72,398.08097000000004,398.08097000000004,0,4939139,0,9.0,16,18,0,11,0,1,0,13C1 12C16 H18 O11,O11
73,398.15379,398.15379,0,2076572,0,7.0,18,26,0,9,0,1,0,13C1 12C18 H26 O9,O9
74,400.02366,400.02366,0,2202667,0,10.0,14,12,0,13,0,1,0,13C1 12C14 H12 O13,O13
75,400.0967,400.0967,0,3749957,0,8.0,16,20,0,11,0,1,0,13C1 12C16 H20 O11,O11
76,402.0546,402.0546,0,3746550,0,13.0,18,14,0,10,0,1,0,13C1 12C18 H14 O10,O10
77,402.07592,402.07592,0,2743037,0,8.0,15,18,0,12,0,1,0,13C1 12C15 H18 O12,O12
78,404.07046,404.07046,0,3942845,0,12.0,18,16,0,10,0,1,0,13C1 12C18 H16 O10,O10
79,406.04967,406.04967,0,6079612,0,12.0,17,14,0,11,0,1,0,13C1 12C17 H14 O11,O11
80,406.08597000000003,406.08597000000003,0,4785288,0,11.0,18,18,0,10,0,1,0,13C1 12C18 H18 O10,O10
81,406.12251000000003,406.12251000000003,0,3353749,0,10.0,19,22,0,9,0,1,0,13C1 12C19 H22 O9,O9
82,406.15866,406.15866,0,2017442,0,9.0,20,26,0,8,0,1,0,13C1 12C20 H26 O8,O8
83,408.02887999999996,408.02887999999996,0,5545789,0,12.0,16,12,0,12,0,1,0,13C1 12C16 H12 O12,O12
84,408.1018,408.1018,0,4327255,0,10.0,18,20,0,10,0,1,0,13C1 12C18 H20 O10,O10
85,410.04458,410.04458,0,7023119,0,11.0,16,14,0,12,0,1,0,13C1 12C16 H14 O12,O12
86,410.08099999999996,410.08099999999996,0,6466076,0,10.0,17,18,0,11,0,1,0,13C1 12C17 H18 O11,O11
87,410.11736,410.11736,0,5558825,0,9.0,18,22,0,10,0,1,0,13C1 12C18 H22 O10,O10
88,410.15373999999997,410.15373999999997,0,3161654,0,8.0,19,26,0,9,0,1,0,13C1 12C19 H26 O9,O9
89,412.02387999999996,412.02387999999996,0,3223767,0,11.0,15,12,0,13,0,1,0,13C1 12C15 H12 O13,O13
90,412.09661,412.09661,0,6821106,0,9.0,17,20,0,11,0,1,0,13C1 12C17 H20 O11,O11
91,414.03942,414.03942,0,3317681,0,10.0,15,14,0,13,0,1,0,13C1 12C15 H14 O13,O13
92,414.05466,414.05466,0,2117047,0,14.0,19,14,0,10,0,1,0,13C1 12C19 H14 O10,O10
93,414.07589,414.07589,0,4543423,0,9.0,16,18,0,12,0,1,0,13C1 12C16 H18 O12,O12
94,414.14862999999997,414.14862999999997,0,2151385,0,7.0,18,26,0,10,0,1,0,13C1 12C18 H26 O10,O10
95,416.0704,416.0704,0,3478166,0,13.0,19,16,0,10,0,1,0,13C1 12C19 H16 O10,O10
96,416.09146,416.09146,0,2886301,0,8.0,16,20,0,12,0,1,0,13C1 12C16 H20 O12,O12
97,416.12789,416.12789,0,2693803,0,7.0,17,24,0,11,0,1,0,13C1 12C17 H24 O11,O11
98,418.04967,418.04967,0,5330284,0,13.0,18,14,0,11,0,1,0,13C1 12C18 H14 O11,O11
99,420.02897,420.02897,0,5312582,0,13.0,17,12,0,12,0,1,0,13C1 12C17 H12 O12,O12
100,420.1016,420.1016,0,3674209,0,11.0,19,20,0,10,0,1,0,13C1 12C19 H20 O10,O10
101,420.13786,420.13786,0,2174575,0,10.0,20,24,0,9,0,1,0,13C1 12C20 H24 O9,O9
102,422.04456,422.04456,0,8756019,0,12.0,17,14,0,12,0,1,0,13C1 12C17 H14 O12,O12
103,422.08099000000004,422.08099000000004,0,6908737,0,11.0,18,18,0,11,0,1,0,13C1 12C18 H18 O11,O11
104,422.11737999999997,422.11737999999997,0,4664143,0,10.0,19,22,0,10,0,1,0,13C1 12C19 H22 O10,O10
105,422.15377,422.15377,0,2752348,0,9.0,20,26,0,9,0,1,0,13C1 12C20 H26 O9,O9
106,424.02383,424.02383,0,4032024,0,12.0,16,12,0,13,0,1,0,13C1 12C16 H12 O13,O13
107,424.09665,424.09665,0,5791284,0,10.0,18,20,0,11,0,1,0,13C1 12C18 H20 O11,O11
108,424.16929000000005,424.16929000000005,0,2751567,0,8.0,20,28,0,9,0,1,0,13C1 12C20 H28 O9,O9
109,426.03949000000006,426.03949000000006,0,6324497,0,11.0,16,14,0,13,0,1,0,13C1 12C16 H14 O13,O13
110,426.07585,426.07585,0,6713631,0,10.0,17,18,0,12,0,1,0,13C1 12C17 H18 O12,O12
111,426.14867000000004,426.14867000000004,0,3048762,0,8.0,19,26,0,10,0,1,0,13C1 12C19 H26 O10,O10
112,428.09153,428.09153,0,4635677,0,9.0,17,20,0,12,0,1,0,13C1 12C17 H20 O12,O12
113,428.12796,428.12796,0,4023339,0,8.0,18,24,0,11,0,1,0,13C1 12C18 H24 O11,O11
114,430.03442,430.03442,0,2400005,0,10.0,15,14,0,14,0,1,0,13C1 12C15 H14 O14,O14
115,430.04965999999996,430.04965999999996,0,3480331,0,14.0,19,14,0,11,0,1,0,13C1 12C19 H14 O11,O11
116,430.07093,430.07093,0,3536659,0,9.0,16,18,0,13,0,1,0,13C1 12C16 H18 O13,O13
117,430.08594000000005,430.08594000000005,0,2509081,0,13.0,20,18,0,10,0,1,0,13C1 12C20 H18 O10,O10
118,432.02896,432.02896,0,4956678,0,14.0,18,12,0,12,0,1,0,13C1 12C18 H12 O12,O12
119,432.10165,432.10165,0,3143202,0,12.0,20,20,0,10,0,1,0,13C1 12C20 H20 O10,O10
120,434.00789000000003,434.00789000000003,0,1975557,0,14.0,17,10,0,13,0,1,0,13C1 12C17 H10 O13,O13
121,434.04463,434.04463,0,7542035,0,13.0,18,14,0,12,0,1,0,13C1 12C18 H14 O12,O12
122,434.08092,434.08092,0,5860642,0,12.0,19,18,0,11,0,1,0,13C1 12C19 H18 O11,O11
123,434.15375,434.15375,0,3167550,0,10.0,21,26,0,9,0,1,0,13C1 12C21 H26 O9,O9
124,436.0238,436.0238,0,5859352,0,13.0,17,12,0,13,0,1,0,13C1 12C17 H12 O13,O13
125,436.0967,436.0967,0,6092852,0,11.0,19,20,0,11,0,1,0,13C1 12C19 H20 O11,O11
126,436.13297,436.13297,0,4140098,0,10.0,20,24,0,10,0,1,0,13C1 12C20 H24 O10,O10
127,436.16927000000004,436.16927000000004,0,2483280,0,9.0,21,28,0,9,0,1,0,13C1 12C21 H28 O9,O9
128,438.03955,438.03955,0,7199534,0,12.0,17,14,0,13,0,1,0,13C1 12C17 H14 O13,O13
129,438.07592,438.07592,0,7547709,0,11.0,18,18,0,12,0,1,0,13C1 12C18 H18 O12,O12
130,438.1487,438.1487,0,3581785,0,9.0,20,26,0,10,0,1,0,13C1 12C20 H26 O10,O10
131,438.18499,438.18499,0,1994087,0,8.0,21,30,0,9,0,1,0,13C1 12C21 H30 O9,O9
132,440.01870999999994,440.01870999999994,0,3082810,0,12.0,16,12,0,14,0,1,0,13C1 12C16 H12 O14,O14
133,440.09153,440.09153,0,6205015,0,10.0,18,20,0,12,0,1,0,13C1 12C18 H20 O12,O12
134,442.03455999999994,442.03455999999994,0,3644761,0,11.0,16,14,0,14,0,1,0,13C1 12C16 H14 O14,O14
135,442.04965999999996,442.04965999999996,0,2812255,0,15.0,20,14,0,11,0,1,0,13C1 12C20 H14 O11,O11
136,442.07079000000004,442.07079000000004,0,6170983,0,10.0,17,18,0,13,0,1,0,13C1 12C17 H18 O13,O13
137,442.14365,442.14365,0,3338628,0,8.0,19,26,0,11,0,1,0,13C1 12C19 H26 O11,O11
