,Exp. m/z,Theor. Mass,Error,Abundance,DBE,Cno,Hno,Nno,Ono,Sno,Formula,HeteroClass
55,259.08235,259.08232857990004,0.08267680818265381,2170815,4.0,11,16,0,7,0,C11H16O7,O7
56,261.04055,261.0404635799,0.33106016900512053,4035436,9.0,13,10,0,6,0,C13H10O6,O6
57,261.07687999999996,261.0768485799,0.12034808957276155,2797437,8.0,14,14,0,5,0,C14H14O5,O5
58,263.01979,263.0197285799,0.233518984784269,5109541,9.0,12,8,0,7,0,C12H8O7,O7
59,263.05613,263.0561135799,0.06242052227062981,5063479,8.0,13,12,0,6,0,C13H12O6,O6
60,263.09257,263.0924985799,0.27146384033491594,3540808,7.0,14,16,0,5,0,C14H16O5,O5
61,264.99908,264.9989935799,0.3261148233903769,2744545,9.0,11,6,0,8,0,C11H6O8,O8
62,265.03542999999996,265.0353785799,0.19401221165315033,7337714,8.0,12,10,0,7,0,C12H10O7,O7
63,265.07176,265.0717635799,-0.013505399299649364,6624004,7.0,13,14,0,6,0,C13H14O6,O6
64,265.1082,265.1081485799,0.19395895711580696,3966741,6.0,14,18,0,5,0,C14H18O5,O5
65,267.01466,267.0146435799,0.06149512916592535,9143982,8.0,11,8,0,8,0,C11H8O8,O8
66,267.05106,267.0510285799,0.11765579103811927,8058560,7.0,12,12,0,7,0,C12H12O7,O7
67,267.08746,267.08741357990004,0.17380115129743262,10075857,6.0,13,16,0,6,0,C13H16O6,O6
68,267.12385,267.12379857990004,0.19249539066896726,3344099,5.0,14,20,0,5,0,C14H20O5,O5
69,268.99388999999996,268.9939085799,-0.06907182444119185,2207083,8.0,10,6,0,9,0,C10H6O9,O9
70,269.03031,269.0302935799,0.061034390505405385,6091389,7.0,11,10,0,8,0,C11H10O8,O8
71,269.0667,269.06667857990004,0.07960889135945137,12763790,6.0,12,14,0,7,0,C12H14O7,O7
72,269.10311,269.10306357990004,0.1724993367214397,8723104,5.0,13,18,0,6,0,C13H18O6,O6
73,271.02486,271.0248135799,0.1712761992678401,2032705,11.0,14,8,0,6,0,C14H8O6,O6
74,271.04598,271.04594357990004,0.13436873271231325,7110219,6.0,11,12,0,8,0,C11H12O8,O8
75,271.08236,271.08232857990004,0.11590611650293246,10286684,5.0,12,16,0,7,0,C12H16O7,O7
76,271.11871,271.11871357990003,-0.013204178947809106,2067566,4.0,13,20,0,6,0,C13H20O6,O6
77,273.04053,273.0404635799,0.2432610138172868,3257870,10.0,14,10,0,6,0,C14H10O6,O6
78,273.06162,273.06159357990003,0.09675509332718064,4204568,5.0,11,14,0,8,0,C11H14O8,O8
79,273.09803,273.09797857990003,0.1882844400094029,2564138,4.0,12,18,0,7,0,C12H18O7,O7
80,275.01974,275.0197285799,0.04152465740451575,3795400,10.0,13,8,0,7,0,C13H8O7,O7
81,275.05615,275.0561135799,0.13240970916252043,4284890,9.0,14,12,0,6,0,C14H12O6,O6
82,275.09259,275.0924985799,0.33232494687876835,2686955,8.0,15,16,0,5,0,C15H16O5,O5
83,276.99897999999996,276.9989935799,-0.049025088020356086,2436992,10.0,12,6,0,8,0,C12H6O8,O8
84,277.03539,277.0353785799,0.041222532902849364,6967698,9.0,13,10,0,7,0,C13H10O7,O7
85,277.07175,277.0717635799,-0.049012211888726634,5343651,8.0,14,14,0,6,0,C14H14O6,O6
86,277.10817000000003,277.1081485799,0.07729870142805612,2842037,7.0,15,18,0,5,0,C15H18O5,O5
87,279.01466,279.0146435799,0.05885031618936276,8471879,9.0,12,8,0,8,0,C12H8O8,O8
88,279.05106,279.0510285799,0.11259625228765316,8537432,8.0,13,12,0,7,0,C13H12O7,O7
89,279.08744,279.08741357990004,0.09466603897322684,7114090,7.0,14,16,0,6,0,C14H16O6,O6
90,279.12376,279.12379857990004,-0.1382178812118936,3729787,6.0,15,20,0,5,0,C15H20O5,O5
91,281.03029,281.0302935799,-0.012738484398270033,9642250,8.0,12,10,0,8,0,C12H10O8,O8
92,281.06667999999996,281.06667857990004,0.005052537453031074,12710172,7.0,13,14,0,7,0,C13H14O7,O7
93,281.10309,281.10306357990004,0.0939872359782458,11553069,6.0,14,18,0,6,0,C14H18O6,O6
94,281.13953,281.13944857990003,0.289607525222763,2381631,5.0,15,22,0,5,0,C15H22O5,O5
95,283.00955,283.00955857990004,-0.030316644064889896,6276281,8.0,11,8,0,9,0,C11H8O9,O9
96,283.04595,283.04594357990004,0.022682183264468216,12221642,7.0,12,12,0,8,0,C12H12O8,O8
97,283.08232999999996,283.08232857990004,0.005016561533346184,19440858,6.0,13,16,0,7,0,C13H16O7,O7
98,283.11872999999997,283.11871357990003,0.057997225727935045,8760556,5.0,14,20,0,6,0,C14H20O6,O6
99,285.02521,285.02520857990004,0.004982366241368153,5349491,7.0,11,10,0,9,0,C11H10O9,O9
100,285.04058,285.0404635799,0.408433590476545,3030138,11.0,15,10,0,6,0,C15H10O6,O6
101,285.0616,285.06159357990003,0.022521799180022235,16877700,6.0,12,14,0,8,0,C12H14O8,O8
102,285.098,285.09797857990003,0.07513241619674481,12435605,5.0,13,18,0,7,0,C13H18O7,O7
103,285.13439,285.1343635799,0.0926584212410739,1921958,4.0,14,22,0,6,0,C14H22O6,O6
104,287.01967,287.0197285799,-0.20409711999545227,3029022,11.0,14,8,0,7,0,C14H8O7,O7
105,287.04086,287.04085857990003,0.004947379213514005,5661736,6.0,11,12,0,9,0,C11H12O9,O9
106,287.05609,287.0561135799,-0.08214386979078842,3654191,10.0,15,12,0,6,0,C15H12O6,O6
107,287.07726,287.0772435799,0.05719749775836686,10210361,5.0,12,16,0,8,0,C12H16O8,O8
108,287.09245,287.0924985799,-0.16921340770163457,2913856,9.0,16,16,0,5,0,C16H16O5,O5
109,287.1136,287.1136285799,-0.09954212255716685,2860106,4.0,13,20,0,7,0,C13H20O7,O7
110,288.99901,288.9989935799,0.056817152865273834,2112956,11.0,13,6,0,8,0,C13H6O8,O8
111,289.03541,289.0353785799,0.10870676167563294,5304269,10.0,14,10,0,7,0,C14H10O7,O7
112,289.05651,289.0565085799,0.0049128801290245685,2430423,5.0,11,14,0,9,0,C11H14O9,O9
113,289.07174,289.0717635799,-0.08157109405823909,4848606,9.0,15,14,0,6,0,C15H14O6,O6
114,291.01465,291.0146435799,0.022061089237333728,4912996,10.0,13,8,0,8,0,C13H8O8,O8
115,291.05104,291.0510285799,0.03923744940701415,8233845,9.0,14,12,0,7,0,C14H12O7,O7
116,291.08741000000003,291.08741357990004,-0.012298367580315056,4830086,8.0,15,16,0,6,0,C15H16O6,O6
117,291.12379,291.12379857990004,-0.02947165465785048,2620311,7.0,16,20,0,5,0,C16H20O5,O5
118,292.99397,292.99390857990005,0.20962927262571202,2868981,10.0,12,6,0,9,0,C12H6O9,O9
119,293.03033,293.0302935799,0.12428783235190373,8675077,9.0,13,10,0,8,0,C13H10O8,O8
120,293.06669,293.06667857990004,0.038967582419324166,11460374,8.0,14,14,0,7,0,C14H14O7,O7
121,293.10307,293.10306357990004,0.021903899215961288,8978215,7.0,15,18,0,6,0,C15H18O6,O6
122,293.13944,293.13944857990003,-0.029269005232811035,2720567,6.0,16,22,0,5,0,C16H22O5,O5
123,295.00956,295.00955857990004,0.004813742252974465,8061582,9.0,12,8,0,9,0,C12H8O9,O9
124,295.04595,295.04594357990004,0.021759661856883064,13228702,8.0,13,12,0,8,0,C13H12O8,O8
125,295.08232999999996,295.08232857990004,0.004812554947489742,16444079,7.0,14,16,0,7,0,C14H16O7,O7
126,295.11875,295.11871357990003,0.12340830408161833,10855103,6.0,15,20,0,6,0,C15H20O6,O6
127,297.02521,297.02520857990004,0.0047810755994651625,9543198,8.0,12,10,0,9,0,C12H10O9,O9
128,297.06161000000003,297.06159357990003,0.05527506870969165,20647470,7.0,13,14,0,8,0,C13H14O8,O8
129,297.09797000000003,297.09797857990003,-0.0288790251572768,22199870,6.0,14,18,0,7,0,C14H18O7,O7
130,297.13433,297.1343635799,-0.11301250936976603,6188623,5.0,15,22,0,6,0,C15H22O6,O6
131,299.04087000000004,299.04085857990003,0.03818909584126928,13250981,7.0,12,12,0,9,0,C12H12O9,O9
132,299.05613999999997,299.0561135799,0.08834495859197052,2856364,11.0,16,12,0,6,0,C16H12O6,O6
133,299.07726,299.0772435799,0.054902538887926976,22020532,6.0,13,16,0,8,0,C13H16O8,O8
134,299.11363,299.1136285799,0.004747693991442686,10604997,5.0,14,20,0,7,0,C14H20O7,O7
135,301.02013999999997,301.02012357990003,0.05454818018150753,3075346,7.0,11,10,0,10,0,C11H10O10,O10
136,301.03537,301.0353785799,-0.028501301202734756,4557080,11.0,15,10,0,7,0,C15H10O7,O7
137,301.05651,301.0565085799,0.004717054561836579,11349282,6.0,12,14,0,9,0,C12H14O9,O9
138,301.07178999999996,301.0717635799,0.0877534965642183,3258664,10.0,16,14,0,6,0,C16H14O6,O6
139,301.09289,301.0928935799,-0.011889686161785205,10210610,5.0,13,18,0,8,0,C13H18O8,O8
140,301.12927,301.1292785799,-0.02849241375015772,1951042,4.0,14,22,0,7,0,C14H22O7,O7
141,303.01464,303.0146435799,-0.01181428055065214,3913851,11.0,14,8,0,8,0,C14H8O8,O8
142,303.03582,303.0357735799,0.15318356453054477,1949317,6.0,11,12,0,10,0,C11H12O10,O10
143,303.051,303.0510285799,-0.09430721993539826,5812363,10.0,15,12,0,7,0,C15H12O7,O7
144,303.07216,303.0721585799,0.004685682722627999,3492501,5.0,12,16,0,9,0,C12H16O9,O9
145,303.12382,303.12379857990004,0.07066452744346163,2236587,8.0,17,20,0,5,0,C17H20O5,O5
146,305.0303,305.0302935799,0.021047417769689013,9077733,10.0,14,10,0,8,0,C14H10O8,O8
147,305.06666,305.06667857990004,-0.06090439019977922,7644149,9.0,15,14,0,7,0,C15H14O7,O7
148,305.10306,305.10306357990004,-0.011733412205712918,4612100,8.0,16,18,0,6,0,C16H18O6,O6
149,307.00955,307.00955857990004,-0.027946687048167246,6698805,10.0,13,8,0,9,0,C13H8O9,O9
150,307.04595,307.04594357990004,0.02090924859547273,12848965,9.0,14,12,0,8,0,C14H12O8,O8
151,307.08232000000004,307.08232857990004,-0.027940064272870085,11007828,8.0,15,16,0,7,0,C15H16O7,O7
152,307.11867,307.11871357990003,-0.14189920084947086,6936420,7.0,16,20,0,6,0,C16H20O6,O6
153,309.02521,309.02520857990004,0.004595417906821788,12423820,9.0,13,10,0,9,0,C13H10O9,O9
154,309.06158999999997,309.06159357990003,-0.011583128222390174,16622235,8.0,14,14,0,8,0,C14H14O8,O8
155,309.09796,309.09797857990003,-0.06011006644088442,18334378,7.0,15,18,0,7,0,C15H18O7,O7
156,309.1344,309.1343635799,0.11781317217771704,6064826,6.0,16,22,0,6,0,C16H22O6,O6
157,311.00445,311.00447357990004,-0.07581852358949806,6561227,9.0,12,8,0,10,0,C12H8O10,O10
158,311.04085,311.04085857990003,-0.02758447907326759,16405978,8.0,13,12,0,9,0,C13H12O9,O9
159,311.07723,311.0772435799,-0.04365443092373505,24581610,7.0,14,16,0,8,0,C14H16O8,O8
160,311.1136,311.1136285799,-0.09186322095366972,19039736,6.0,15,20,0,7,0,C15H20O7,O7
161,311.15,311.1500135799,-0.04364422127308529,2076679,5.0,16,24,0,6,0,C16H24O6,O6
162,313.02012,313.02012357990003,-0.011436644932813768,5531920,8.0,12,10,0,10,0,C12H10O10,O10
163,313.0565,313.0565085799,-0.027406873080216464,19835166,7.0,13,14,0,9,0,C13H14O9,O9
164,313.09289,313.0928935799,-0.011433986793108824,23492910,6.0,14,18,0,8,0,C14H18O8,O8
165,313.12926,313.1292785799,-0.05933619530388277,7782717,5.0,15,22,0,7,0,C15H22O7,O7
