m/z	I
343.06704	14882417
343.08228	2708087
343.08559	2771064
343.10344	12797567
343.1398	3756684
344.03414	2082769
344.07039	2178527
344.1068	2104300
345.02513	6367546
345.04629	5550401
345.06157	6572359
345.06493	2091336
345.08265	6418766
345.09803	3777876
345.10133	3288405
345.11904	3649371
347.0045	2979845
347.04081	12573714
347.07725	8889375
347.0806	2498081
347.11364	5199917
347.11696	2201134
347.14992	2179130
348.04419	2389883
349.02013	10841818
349.05653	16551655
349.08999	2153715
349.09286	11185908
349.12925	7264001
349.16574	2248974
350.05982	3229774
350.09614	2479195
350.99936	4252062
351.03273	2330537
351.03576	18821546
351.06913	2589110
351.07213	18284984
351.10852	14672324
351.14489	7858642
352.03906	2994960
352.07551	3663645
352.11176	2775850
353.01502	10015851
353.04844	2967671
353.05141	22328440
353.08478	3324036
353.08779	22107268
353.12419	15832209
353.1606	2908831
353.20031	4962477
354.01837	2408399
354.05476	3685851
354.09106	3895784
354.1275	2930677
355.00955	2690861
355.02738	2146612
355.03067	16434997
355.04596	3533626
355.0641	2920257
355.06706	25130818
355.10035	2556749
355.10346	22247246
355.1398	8251227
356.03386	2722967
356.07039	5225636
356.10685	3722417
357.0099	3927535
357.02515	5167604
357.02853	2354677
357.04633	18786812
357.06162	4163073
357.06498	2543106
357.07953	2193927
357.08272	18303496
357.11909	11029013
357.15552	2441762
358.04959	3384156
358.08609	3978089
359.00458	3143851
359.02554	3928243
359.04083	9675960
359.04429	2124985
359.06195	8004800
359.07724	6376645
359.08062	3460294
359.09832	6694092
359.11359	3507410
359.11694	2114771
359.13474	2400473
360.04419	2266136
361.02006	8683373
361.04133	1997684
361.05648	13717369
361.09287	8169350
361.09636	4059015
361.1293	3965843
362.05969	2774232
362.99932	3547679
363.03271	2337835
363.03574	19313196
363.06909	2825272
363.07211	15782456
363.07565	2233402
363.10852	10179141
363.11179	2502726
363.14486	5964370
364.03907	3582857
364.07553	2379670
365.01502	10790108
365.04824	3400936
365.0514	24446184
365.08448	2575092
365.08778	17994998
365.12415	14329090
365.16052	4645135
366.05474	4229701
366.08298	2041423
366.09117	3283538
366.12747	2440798
366.99425	2232203
367.02747	2514326
367.03068	19175320
367.04589	2498461
367.06371	2640291
367.06703	22693796
367.1002	2903984
367.10341	21145520
367.13981	10839997
368.03399	3739891
368.06217	1962237
368.07035	4803840
368.10684	3370252
368.14314	2502937
369.00989	6181445
369.02526	2254922
369.02845	2380363
369.04299	3169872
369.04629	24873554
369.06154	2540631
369.07928	3204701
369.0827	22260318
369.11582	2922089
369.11909	16202346
369.15541	4913783
370.04968	4361132
370.08596	4342713
370.12237	2640837
371.0044	2692342
371.02233	2142460
371.02558	9104637
371.04088	5338371
371.04424	2538244
371.05882	2185481
371.06198	18730250
371.07721	3421455
371.08058	2087184
371.095	2194709
371.09833	15768854
371.13473	6681891
372.06526	3458660
372.1017	3488368
373.02011	7018413
373.02348	2831278
373.04125	9904052
373.0565	9603002
373.05987	3432379
373.07758	9447361
373.09288	4718534
373.09629	2851271
373.114	6008782
373.12936	2325459
374.99942	3182167
375.03242	2049379
375.03576	15884900
375.03925	2347109
375.05685	3796587
375.07214	11498096
375.0755	3818097
375.09327	2633848
375.10853	6593149
375.11197	3845758
375.14493	3887753
376.03908	2958269
376.07543	2709450
377.01503	9868557
377.04799	2591001
377.05139	25318682
377.08779	13669670
377.09126	3033384
377.12419	10007859
377.12754	2016564
377.16047	3961151
378.01828	2006631
378.04664	2617456
378.0548	5273203
378.09115	3189376
378.12751	1958028
378.99427	2503607
379.02708	3259330
379.03066	24893378
379.06347	3294158
379.06708	24221648
379.10008	2320859
379.10342	17405916
379.13981	11872232
379.17615	3174389
380.03396	5292316
380.06218	2535718
380.07033	5773609
380.10672	3597621
380.14332	2536770
381.00995	8510060
381.02517	2230897
381.04306	3644024
381.04635	30276216
381.06161	2257534
381.0792	3407492
381.08271	25664134
381.11572	2475153
381.11908	20650642
381.15546	7826078
381.2316	2405561
382.04156	2843599
382.04966	4487122
382.0861	4836319
382.12239	3868651
383.00794	2027804
383.02221	2525473
383.02558	19733794
383.04088	4224296
383.04419	2370345
383.05844	3480878
383.06198	27491630
383.09474	3152186
383.09834	26123580
383.13123	2286919
383.13474	14290248
383.17121	3054932
383.46727	1987514
384.02889	3076732
384.06527	4464264
384.10178	4352661
384.13823	3004065
385.0201	5223378
385.0236	3068883
385.03769	2850775
385.04125	21921752
385.05649	6182878
385.06004	2889695
385.07427	2713572
385.07762	21700582
385.09299	2857963
385.11038	2641905
385.11397	15265778
385.15039	5298174
386.04463	3473715
386.08101	4346175
386.11733	2303308
386.99944	3753596
387.00287	2671229
387.02051	4448899
387.03575	12083848
387.03908	3171978
387.05687	13779600
387.07218	8645269
387.07545	3539606
387.09326	11240092
387.10855	3611298
387.11201	2039459
387.1296	5800617
387.14498	2008750
388.03904	2065891
388.09676	2708471
389.01502	9995572
389.01871	2633013
389.03615	3674428
389.04757	2053439
389.05139	20038976
389.05495	2939202
389.07254	3875144
389.08781	11486541
389.0912	3504463
389.10886	2394453
389.12419	5655898
389.1275	2770779
390.0183	2017423
390.0466	2341529
390.05476	2409628
390.09111	2547368
390.12756	2102965
390.99425	2703329
391.02695	3329004
391.03069	24029166
391.06298	2162169
391.06707	21342202
391.07052	2395131
391.10345	13015047
391.10687	2868232
391.13977	9105427
392.03413	3754313
392.06226	2611539
392.07045	4575574
392.10678	2607459
393.00995	9771676
393.04259	4373159
393.04634	33950376
393.07899	3207860
393.0827	22956726
393.11531	2589377
393.11906	17361602
393.15546	9163470
394.04151	3549186
394.04969	5977093
394.07801	2663439
394.08608	4133906
394.12237	3448862
395.02164	3319127
395.02559	23629144
395.04083	2179422
395.04423	2047839
395.05816	4172132
395.06199	32853350
395.09471	2868081
395.09835	23113074
395.1311	3480957
395.13474	18353534
395.1711	4892043
396.02886	4347574
396.05724	2535104
396.06538	6076099
396.09356	2647757
396.10171	5050064
396.13812	3741404
397.00482	4259851
397.02005	4125712
397.02351	2273297
397.03749	3705878
397.04124	30068760
397.05654	4901917
397.0598	2146846
397.07368	3437603
397.07763	29044772
397.09271	2271273
397.09619	2068522
397.11025	3815471
397.11399	23531568
397.15039	10895421
397.18669	2134090
